nom de la rue,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1929-1939,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1945-1959,1929-1959,
"avenue de l'Arsenal (grand rue), 17",,0,0,1,0,0,0,0,0,6,5,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,14,
"avenue de l'Arsenal (Grand'Rue), 10",Paul Kuborn,2,3,2,3,3,8,4,12,21,9,2,1,70,,,,,,,,,,,,,,,,,,70,5
"avenue de la Liberté, 16",,,,,,,2,2,,,,,,4,,,,,,,,,,,,,,,,,,4,
"avenue de la liberté, 26",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,
"avenue de la Liberté, 9",,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,
"avenue Gaston Diderich, 2",,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,8,8,
"avenue Monterey, 25",,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,
"boulevard de la Pétrusse, 69",Caisse Lu­xembourgeoise de Crédit Foncier,,,8,3,,,5,,,5,,,21,,,,,,,,,,,,,,,,,,21,
"boulevard du Prince, 19",,,,,,,,,,,,,,,,,,4,9,7,6,2,,,,,,,,,28,28,9
"boulevard Joseph II, 28",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,14,14,
"boulevard Joseph II, 38",,,4,,,,8,3,,,,,,15,,,,,,,,,,,,,,,,,,15,
"boulevard Prince Henri, 21",,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,0,
boulevard Royal 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"boulevard Royal, 21 ",,,,,,,,,,,,,,0,,,4,,,4,,,,,,,,,,,23,23,
"boulevard Royal, 28",Union Financière Luxembourgeoise,,,10,4,5,,1,,,6,,,26,,,,,,,,,,,,,,,,,,26,10
"boulevard Royal, 28",,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,
"boulevard Royal, 2bis ",BIL,7,21,25,14,25,18,30,58,42,24,10,,274,,11,25,21,27,25,,,,,11,,,,,,219,493,1
"boulevard Royal, 31 ",notaire Altwies,0,1,0,3,1,1,4,12,5,3,0,1,31,0,1,3,6,3,4,4,0,1,1,3,,,,,,26,57,6
"boulevard Royal, 33",Banque commerciale,4,18,10,5,16,8,7,19,17,17,6,,127,,5,13,,21,11,,,,,2,,,,,,74,201,2
"boulevard royal, 45",,0,0,0,0,0,0,2,0,1,0,1,,,0,3,3,0,4,0,1,1,1,0,0,0,0,,,,13,13,
"Grand rue, 76",,,,,,,,,,4,,,,4,,6,,,,,,,,,,,,,,,,4,
"grand rue, 86",,,,,,,,,,,,3,,3,,5,5,,,,,,,,,,,,,,41,44,7
"Pierret, 28",,,,,,,2,,,4,,,,6,,,,,,,,,,,,,,,,,,6,
"place de la gare, 80",,,,,,,,,,,,,,0,,8,10,5,,,,,,,,,,,,,30,30,8
"route d'Itzig, 160",,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,3,
"rue Aldringer, 14",BGL,,,,,,,,11,12,13,7,,43,,7,20,15,,11,,,,,2,,,,,,143,186,3
"rue Baudoin, 9 ",,,,,,,,4,,6,,4,,14,,,,,,,,,,,,,,,,,,14,
"rue de Hollerich, 144",,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,
"rue de Liberté, 22 ",,2,,,,,,,,8,,,,10,,,,,,,,,,,,,,,,,,10,
"rue Maréchal Foch, 15",,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,4,
"rue Philippe II, 11",Banque Lévy    ,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,
"rue Philippe II, 5",Banque Lévy (mais ce n'est pas l'adresse de la Banque Lévy),4,14,18,20,17,6,3,5,3,,,,90,,,,,,,,,,,,,,,,,,90,4
"route de Beggen, 269",,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total (repris),,13,47,56,43,50,47,58,115,112,82,31,,654,0,,,,,64,,,,,,,,,0,,619,1273,
,,31.71%,40.52%,41.18%,43.88%,34.25%,45.63%,46.77%,48.12%,48.70%,48.24%,30.69%,,43.48%,0.00%,,,,,44.14%,,,,,,,,,,,57.16%,0.4920757634,
total,,41,116,136,98,146,103,124,239,230,170,101,,1504,7,90,128,130,136,145,157,90,74,35,40,44,7,,,,1083,2587,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non identifié,,,,53,29,56,46,39,84,84,64,52,,,,,16,35,30,46,,,,,16,,,,,,,,
,,,,38.97%,29.59%,38.36%,44.66%,31.45%,35.15%,36.52%,37.65%,51.49%,,,,,12.50%,26.92%,22.06%,31.72%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,0.00%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.4189602446,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.1941896024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.1376146789,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.06574923547,,,,,,,,,,,,,,,,,,,
