nom de la rue,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1929-1939,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1945-1959,1929-1959,,latitude,longitude
"avenue de l'Arsenal (grand rue), 17",,0,0,1,0,0,0,0,0,6,5,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,14,,49.6112,6.1239
"avenue de l'Arsenal (Grand'Rue), 10",Paul Kuborn,2,3,2,3,3,8,4,12,21,9,2,1,70,,,,,,,,,,,,,,,,,0,70,5,49.6006,6.1305
"avenue de la Liberté, 16",,,,,,,2,2,,,,,,4,,,,,,,,,,,,,,,,,0,4,,49.6058845,6.1287571
"avenue de la liberté, 26",,,,,,,,,,,,,,0,,,,,,,,,,,2,,,,,,2,0,,49.6044423,6.1298776
"avenue de la Liberté, 9",,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,0,3,,49.6067334,6.1287018
"avenue Gaston Diderich, 2",,,,,,,,,,,,,,0,,,,,6,2,,,,,,,,,,,8,8,,49.6101368,6.1186141
"avenue Monterey, 25",,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,0,4,,49.6104617,6.1248505
"boulevard de la Pétrusse, 69",Caisse Lu­xembourgeoise de Crédit Foncier,,,8,3,,,5,,,5,,,21,,,,,,,,,,,,,,,,,0,21,,49.6067541,6.1260863
"boulevard du Prince, 19",,,,,,,,,,,,,,0,,,,4,9,7,6,2,,,,,,,,,28,28,9,49.063534,6.134898
"boulevard Joseph II, 28",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,14,,49.613364,6.1214477
"boulevard Joseph II, 38",,,4,,,,8,3,,,,,,15,,,,,,,,,,,,,,,,,0,15,,49.6139977,6.1218343
"boulevard Prince Henri, 21",,,,,,,,,,,,,,0,,5,4,,,,,,,,,,,,,,9,0,,49.4906222,5.9766912
boulevard Royal 45,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,,49.6135694,6.1268755
"boulevard Royal, 21 ",,,,,,,,,,,,,,0,,,4,,,4,,,,,,,,,,,8,23,,49.6134663,6.1273751
"boulevard Royal, 28",Union Financière Luxembourgeoise,,,10,4,5,,1,,,6,,,26,,,,,,,,,,,,,,,,,0,26,10,49.6135694,6.1268755
"boulevard Royal, 2bis ",BIL,7,21,25,14,25,18,30,58,42,24,10,,274,,11,25,21,27,25,,,,,11,,,,,,120,493,1,49.6135694,6.1268755
"boulevard Royal, 31 ",notaire Altwies,0,1,0,3,1,1,4,12,5,3,0,1,31,0,1,3,6,3,4,4,0,1,1,3,,,,,,26,57,6,49.6135694,6.1268755
"boulevard Royal, 33",Banque commerciale,4,18,10,5,16,8,7,19,17,17,6,,127,,5,13,,21,11,,,,,2,,,,,,52,201,2,49.6135694,6.1268755
"boulevard royal, 45",,0,0,0,0,0,0,2,0,1,0,1,,4,0,3,3,0,4,0,1,1,1,0,0,0,0,,,,13,13,,49.6135694,6.1268755
"Grand rue, 76",,,,,,,,,,4,,,,4,,6,,,,,,,,,,,,,,,6,4,,49.6124295,6.127513
"grand rue, 86",,,,,,,,,,,,3,,3,,5,5,,,,,,,,,,,,,,10,44,7,49.612329,6.1270109
"Pierret, 28",,,,,,,2,,,4,,,,6,,,,,,,,,,,,,,,,,0,6,,49.6204201,6.1170435
"place de la gare, 80",,,,,,,,,,,,,,0,,8,10,5,,,,,,,,,,,,,23,30,8,49.5989936,6.1326629
"route d'Itzig, 160",,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,0,3,,49.5815241,6.1482978
"rue Aldringer, 14",BGL,,,,,,,,11,12,13,7,,43,,7,20,15,,11,,,,,2,,,,,,55,186,3,49.6126091,6.1267106
"rue Baudoin, 9 ",,,,,,,,4,,6,,4,,14,,,,,,,,,,,,,,,,,0,14,,49.5978381,6.1207514
"rue de Hollerich, 144",,,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,3,0,,49.5986956,6.1255988
"rue de Liberté, 22 ",,2,,,,,,,,8,,,,10,,,,,,,,,,,,,,,,,0,10,,49.5549264,5.8752473
"rue Maréchal Foch, 15",,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,0,4,,49.6084111,6.1104601
"rue Philippe II, 11",Banque Lévy    ,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,0,3,,49.6117411,6.1280809
"rue Philippe II, 5",Banque Lévy (mais ce n'est pas l'adresse de la Banque Lévy),4,14,18,20,17,6,3,5,3,,,,90,,,,,,,,,,,,,,,,,0,90,4,49.6117411,6.1280809
"route de Beggen, 269",,,,,,,,,,,,,,0,,,9,,,,,,,,,,,,,,9,0,,49.6475771,6.127658
