,nom de la rue,latitude,longitude,1966,1976,1986,1996,2006,2016
L-2449 Luxembourg, 2 Boulevard - Royal,49.6147531,6.1294855,345,917,781,731,,
L-2449 Luxembourg, 33 boulevard royal,49.6135694,6.1268755,205,126,,,,
L-2240 Luxembourg, 37 rue Notre-Dame,49.6099776,6.1288213,186,772,818,371,,
L-1118 Luxembourg, 14 rue Aldringen,49.6114614,6.1268209,179,417,378,604,,
L-2449 Luxembourg, 2b boulevard Royal,49.6147531,6.1294855,109,,,,,
L-2449 Luxembourg, 22 boulevard Royal,49.611382,6.1255337,74,373,116,,,
L-1661 Luxembourg, 103 Grand'Rue,49.6119974,6.1263814,73,152,,,,
L-1840 Luxembourg, 11a boulevard Joseph II,49.6122889,6.1203715,47,378,360,,,
L-2449 Luxembourg, 27 boulevard Royal,49.6135694,6.1268755,32,,,,,
L-2449 Luxembourg, 22 boulevard Royal,49.611382,6.1255337,,373,116,,,
L-2449 Luxembourg, 15 boulevard Royal,49.6136511,6.1283151,,238,374,475,,
L-1637 Luxembourg, 43 rue Goethe,49.6047077,6.1244077,,169,,,,
L-1331 Luxembourg, 11 boulevard Grande-Duchesse Charlotte,49.6086889,6.1196528,,159,,,,
L-1528 Luxembourg, 30 boulevard de la Foire,49.6159283,6.1241334,,,143,,,
L-1528 Luxembourg, 5 boulevard de la Foire,49.6154107,6.1222588,,,139,812,1504,
L-1118 Luxembourg, 11 rue Aldringen,49.6114614,6.1268209,,,130,930,,
L-2227 Luxembourg, 23 avenue de Porte-Neuve,49.6125905,6.1281143,,144,122,311,,
L-2086 Luxembourg, 23 avenue Monterey,49.6106647,6.1271454,,,,807,1328,
L-2311 Luxembourg, 3 avenue Pasteur,49.6181786,6.12398,,,99,502,887,
L-2953 Luxembourg, 69 route d'Esch,49.6015788,6.1219746,,,,483,,
L-1631 Luxembourg, 35 rue Glesener,49.6018629,6.1303503,,,108,362,,
L-1311 Luxembourg, 65 boulevard Grande-Duchesse Charlotte,49.6086889,6.1196528,,,,299,1702,1203
L-1449 Luxembourg, 18 rue de l'eau,49.6106109,6.1334335,,,,,1187,582
L-1882 Luxembourg, 5 rue Guillaume Kroll,49.5803559,6.1117066,,,,,1101,1747
L-1653 Luxembourg, 2 avenue Charles de Gaulle,49.6045821,6.1360792,,,,,1030,1334
L-2449 Luxembourg, 8 boulevard Royal,49.6116,6.1304,,,,,962,
L-2519 Luxembourg, 9 rue Schiller,49.6063696,6.1297685,,,,,929,
L-1471 Luxembourg, 412f route d'Esch,49.5757833,6.1042553,,,,,923,1282
L-1116 Luxembourg, 6 rue d'Adolphe,49.6054677,6.116435,,,,,921,
L-2453 Luxembourg, 6 rue Eugène Ruppert,49.5882,6.1213,,,,,,1781
L-1855 Luxembourg, 46a avenue J-F. Kennedy,49.6261466,6.1615944,,,,,,1098
L-2540 Luxembourg, 15 rue Edward Steichen,49.6312319,6.1734247,,,,,,847
L-1273 Luxembourg, 19 rue de Bitbourg,49.6144429,6.1709814,,,,,,789
L-2163 Luxembourg, 40 avenue Monterey,49.6099355,6.1195193,,,,,,778
L-2346 Luxembourg, 20 rue de la Poste,49.611485,6.1291844,,,,,,774
L-1724 Luxembourg, 11 boulevard du Prince Henri,49.6121998,6.1244083,30,85,,,,
L-2449 Luxembourg, 25 boulevard Royal,49.6133735,6.1272732,30,,,,,
L-2449 Luxembourg, 26 boulevard Royal,49.6110262,6.1256336,36,,,,,
L-2240 Luxembourg, 47 rue Notre-Dame,49.6099776,6.1288213,17,,,,,
L-1930 Luxembourg, 1 place de Metz,49.6096,6.1319,16,,,,,
L-2240 Luxembourg, 16 rue Notre-Dame,49.6099776,6.1288213,,121,,,,
L-1840 Luxembourg, 40 boulevard Joseph II,49.6140972,6.121898,,,112,,,
L-1219 Luxembourg, 23 rue Beaumont,49.6129658,6.1283705,,,107,,,
L-1470 Luxembourg, 50 route d'Esch,49.6029971,6.1203413,,,,336,,
L-1724 Luxembourg, 3b boulevard du Prince Henri,49.6117131,6.1241629,,,,327,,
L-2120 Luxembourg, 16 allée Marconi,49.6113756,6.1206366,,,,317,,
L-2453 Luxembourg, 5 Eugène Ruppert,49.5829,6.1063,,,,,907,
L-1717 Luxembourg, 8-10 rue Mathias Hardt,49.6060886,6.130876,,,,,863,
L-2636 Luxembourg, 12 rue Léon Thyes,49.6363285,6.1655935,,,,,854,
L-2449 Luxembourg, 25b boulevard Royal,49.6124,6.1298,,,,,819,
L-1511 Luxembourg, 121 avenue de la Faiencerie,49.6204988,6.114363,,,,,,724
L-2453 Luxembourg, 2-4 rue Eugène Ruppert,49.5828,6.1383,,,,,,703
L-2350 Luxembourg, 1 rue Jean Piret,49.5841066,6.1162561,,,,,,632
L-1653 Luxembourg, 2-8 avenue Charles de Gaulle,49.6045821,6.1360792,,,,,,604
